base, ;2524
base, f9, ;2594
base, f8, ;2765,5
base, f8, f9, ;2828
base, f7, ;4754,5
base, f7, f8, ;4973
base, f7, f9, ;4801
base, f7, f8, f9, ;5051
base, f6, ;2937
base, f6, f9, ;2999,5
base, f6, f7, ;6767
base, f6, f7, f9, ;6837
base, f6, f8, ;3163
base, f6, f7, f8, ;7008,5
base, f6, f8, f9, ;3226
base, f6, f7, f8, f9, ;7071
base, f5, ;3155,5
base, f5, f9, ;3210
base, f5, f8, ;3389,5
base, f5, f8, f9, ;3452
base, f5, f6, ;3561
base, f5, f6, f8, ;3795
base, f5, f6, f9, ;3623,5
base, f5, f6, f8, f9, ;3850
base, f5, f7, ;6611
base, f5, f7, f9, ;6689
base, f5, f6, f7, ;8646,5
base, f5, f6, f7, f9, ;8709
base, f5, f7, f8, ;6845
base, f5, f6, f7, f8, ;8880,5
base, f5, f7, f8, f9, ;6915
base, f5, f6, f7, f8, f9, ;8950,5
base, f4, ;2726
base, f4, f9, ;2804
base, f4, f8, ;2968
base, f4, f8, f9, ;3030,5
base, f4, f7, ;5753
base, f4, f7, f8, ;5994,5
base, f4, f7, f9, ;5823
base, f4, f7, f8, f9, ;6049
base, f4, f5, ;3358
base, f4, f5, f9, ;3413
base, f4, f5, f7, ;7625
base, f4, f5, f7, f9, ;7687
base, f4, f5, f8, ;3584
base, f4, f5, f7, f8, ;7866,5
base, f4, f5, f8, f9, ;3647
base, f4, f5, f7, f8, f9, ;7929
base, f4, f6, ;3140
base, f4, f6, f9, ;3194
base, f4, f6, f8, ;3374
base, f4, f6, f8, f9, ;3428
base, f4, f5, f6, ;3764
base, f4, f5, f6, f8, ;3998
base, f4, f5, f6, f9, ;3818
base, f4, f5, f6, f8, f9, ;4060
base, f4, f6, f7, ;7788,5
base, f4, f6, f7, f9, ;7851
base, f4, f5, f6, f7, ;9653
base, f4, f5, f6, f7, f9, ;9723
base, f4, f6, f7, f8, ;8022,5
base, f4, f5, f6, f7, f8, ;9894,5
base, f4, f6, f7, f8, f9, ;8085
base, f4, f5, f6, f7, f8, f9, ;9965
base, f3, ;4643
base, f3, f9, ;4705,5
base, f3, f8, ;4892,5
base, f3, f8, f9, ;4947
base, f3, f7, ;6858
base, f3, f7, f8, ;7100
base, f3, f7, f9, ;6920,5
base, f3, f7, f8, f9, ;7170
base, f3, f6, ;6117
base, f3, f6, f9, ;6250
base, f3, f6, f7, ;13808,5
base, f3, f6, f7, f9, ;13933
base, f3, f6, f8, ;6562
base, f3, f6, f7, f8, ;14245
base, f3, f6, f8, f9, ;6686,5
base, f3, f6, f7, f8, f9, ;14370
base, f3, f4, ;4846
base, f3, f4, f9, ;4908
base, f3, f4, f8, ;5095,5
base, f3, f4, f8, f9, ;5158
base, f3, f4, f6, ;6534
base, f3, f4, f6, f8, ;6960
base, f3, f4, f6, f9, ;6648
base, f3, f4, f6, f8, f9, ;7084
base, f3, f4, f7, ;7864
base, f3, f4, f7, f9, ;7934,5
base, f3, f4, f6, f7, ;15828
base, f3, f4, f6, f7, f9, ;15961
base, f3, f4, f7, f8, ;8130
base, f3, f4, f6, f7, f8, ;16273
base, f3, f4, f7, f8, f9, ;8184
base, f3, f4, f6, f7, f8, f9, ;16398
base, f3, f5, ;5282,5
base, f3, f5, f9, ;5337
base, f3, f5, f8, ;5524
base, f3, f5, f8, f9, ;5571
base, f3, f5, f7, ;8738
