0;base, ;2502;2524;22;0,871632329635503
1;base, f9, ;2551;2594;43;1,65767154973015
2;base, f8, ;2721;2765,5;44,5;1,60911227626107
3;base, f8, f9, ;2770;2828;58;2,05091937765205
4;base, f7, ;4601;4754,5;153,5;3,22852034914291
5;base, f7, f8, ;4820;4973;153;3,0766137140559
6;base, f7, f9, ;4650;4801;151;3,14517808789836
7;base, f7, f8, f9, ;4869;5051;182;3,60324688180559
8;base, f6, ;2901;2937;36;1,22574055158324
9;base, f6, f9, ;2950;2999,5;49,5;1,65027504584097
10;base, f6, f7, ;6599;6767;168;2,48263632333382
11;base, f6, f7, f9, ;6648;6837;189;2,76437033786749
12;base, f6, f8, ;3120;3163;43;1,35946885867847
13;base, f6, f7, f8, ;6818;7008,5;190,5;2,71812798744382
14;base, f6, f8, f9, ;3169;3226;57;1,76689398636081
15;base, f6, f7, f8, f9, ;6867;7071;204;2,88502333474756
16;base, f5, ;3102;3155,5;53,5;1,69545238472509
17;base, f5, f9, ;3151;3210;59;1,8380062305296
18;base, f5, f8, ;3321;3389,5;68,5;2,02094704233663
19;base, f5, f8, f9, ;3370;3452;82;2,37543453070684
20;base, f5, f6, ;3501;3561;60;1,68491996630161
21;base, f5, f6, f8, ;3720;3795;75;1,97628458498023
22;base, f5, f6, f9, ;3550;3623,5;73,5;2,02842555540224
23;base, f5, f6, f8, f9, ;3769;3850;81;2,1038961038961
24;base, f5, f7, ;6400;6611;211;3,19165027983664
25;base, f5, f7, f9, ;6449;6689;240;3,58798026610853
26;base, f5, f6, f7, ;8398;8646,5;248,5;2,87399525819696
27;base, f5, f6, f7, f9, ;8447;8709;262;3,00838213342519
28;base, f5, f7, f8, ;6619;6845;226;3,30168005843682
29;base, f5, f6, f7, f8, ;8617;8880,5;263,5;2,96717527166263
30;base, f5, f7, f8, f9, ;6668;6915;247;3,57194504699928
31;base, f5, f6, f7, f8, f9, ;8666;8950,5;284,5;3,17859337467181
32;base, f4, ;2701;2726;25;0,917094644167278
33;base, f4, f9, ;2750;2804;54;1,92582025677603
34;base, f4, f8, ;2920;2968;48;1,61725067385444
35;base, f4, f8, f9, ;2969;3030,5;61,5;2,02936809107408
36;base, f4, f7, ;5599;5753;154;2,67686424474188
37;base, f4, f7, f8, ;5818;5994,5;176,5;2,94436566852949
38;base, f4, f7, f9, ;5648;5823;175;3,00532371629744
39;base, f4, f7, f8, f9, ;5867;6049;182;3,00876177880642
40;base, f4, f5, ;3301;3358;57;1,69743895175699
41;base, f4, f5, f9, ;3350;3413;63;1,84588338704951
42;base, f4, f5, f7, ;7398;7625;227;2,97704918032787
43;base, f4, f5, f7, f9, ;7447;7687;240;3,12215428645766
44;base, f4, f5, f8, ;3520;3584;64;1,78571428571429
45;base, f4, f5, f7, f8, ;7617;7866,5;249,5;3,17167736604588
46;base, f4, f5, f8, f9, ;3569;3647;78;2,13874417329312
47;base, f4, f5, f7, f8, f9, ;7666;7929;263;3,31693782318072
48;base, f4, f6, ;3100;3140;40;1,27388535031847
49;base, f4, f6, f9, ;3149;3194;45;1,40889167188479
50;base, f4, f6, f8, ;3319;3374;55;1,63011262596325
51;base, f4, f6, f8, f9, ;3368;3428;60;1,75029171528588
52;base, f4, f5, f6, ;3700;3764;64;1,70031880977683
53;base, f4, f5, f6, f8, ;3919;3998;79;1,97598799399699
54;base, f4, f5, f6, f9, ;3749;3818;69;1,80722891566265
55;base, f4, f5, f6, f8, f9, ;3968;4060;92;2,26600985221675
56;base, f4, f6, f7, ;7597;7788,5;191,5;2,45875329010721
57;base, f4, f6, f7, f9, ;7646;7851;205;2,61113233982933
58;base, f4, f5, f6, f7, ;9396;9653;257;2,66238475085466
59;base, f4, f5, f6, f7, f9, ;9445;9723;278;2,85919983544174
60;base, f4, f6, f7, f8, ;7816;8022,5;206,5;2,574010595201
61;base, f4, f5, f6, f7, f8, ;9615;9894,5;279,5;2,82480165748649
62;base, f4, f6, f7, f8, f9, ;7865;8085;220;2,72108843537416
63;base, f4, f5, f6, f7, f8, f9, ;9664;9965;301;3,02057200200703
64;base, f3, ;4612;4643;31;0,667671763945719
65;base, f3, f9, ;4661;4705,5;44,5;0,94570183827436
66;base, f3, f8, ;4831;4892,5;61,5;1,25702606029637
67;base, f3, f8, f9, ;4880;4947;67;1,35435617545987
68;base, f3, f7, ;6711;6858;147;2,1434820647419
69;base, f3, f7, f8, ;6930;7100;170;2,3943661971831
70;base, f3, f7, f9, ;6760;6920,5;160,5;2,31919658984178
71;base, f3, f7, f8, f9, ;6979;7170;191;2,66387726638773
72;base, f3, f6, ;6059;6117;58;0,948177211051174
73;base, f3, f6, f9, ;6157;6250;93;1,488
74;base, f3, f6, f7, ;13455;13808,5;353,5;2,56001738059891
75;base, f3, f6, f7, f9, ;13553;13933;380;2,7273379745927
76;base, f3, f6, f8, ;6477;6562;85;1,29533678756476
77;base, f3, f6, f7, f8, ;13873;14245;372;2,61144261144261
78;base, f3, f6, f8, f9, ;6575;6686,5;111,5;1,66753907126299
79;base, f3, f6, f7, f8, f9, ;13971;14370;399;2,77661795407099
80;base, f3, f4, ;4811;4846;35;0,722245150639708
81;base, f3, f4, f9, ;4860;4908;48;0,977995110024452
82;base, f3, f4, f8, ;5030;5095,5;65,5;1,28544794426455
83;base, f3, f4, f8, f9, ;5079;5158;79;1,53160139588988
84;base, f3, f4, f6, ;6457;6534;77;1,17845117845118
85;base, f3, f4, f6, f8, ;6875;6960;85;1,22126436781609
86;base, f3, f4, f6, f9, ;6555;6648;93;1,39891696750902
87;base, f3, f4, f6, f8, f9, ;6973;7084;111;1,56691134952004
88;base, f3, f4, f7, ;7709;7864;155;1,97100712105798
89;base, f3, f4, f7, f9, ;7758;7934,5;176,5;2,22446278908564
90;base, f3, f4, f6, f7, ;15452;15828;376;2,37553702299722
91;base, f3, f4, f6, f7, f9, ;15550;15961;411;2,5750266274043
92;base, f3, f4, f7, f8, ;7928;8130;202;2,48462484624847
93;base, f3, f4, f6, f7, f8, ;15870;16273;403;2,4764948073496
94;base, f3, f4, f7, f8, f9, ;7977;8184;207;2,52932551319648
95;base, f3, f4, f6, f7, f8, f9, ;15968;16398;430;2,6222710086596
96;base, f3, f5, ;5212;5282,5;70,5;1,33459536204448
97;base, f3, f5, f9, ;5261;5337;76;1,42402098557243
98;base, f3, f5, f8, ;5431;5524;93;1,68356263577118
99;base, f3, f5, f8, f9, ;5480;5571;91;1,63345898402441
100;base, f3, f5, f7, ;8510;8738;228;2,60929274433509
101;base, f3, f5, f7, f8, ;8729;8983,5;254,5;2,83297155896922
102;base, f3, f5, f7, f9, ;8559;8808;249;2,82697547683924
103;base, f3, f5, f7, f8, f9, ;8778;9042;264;2,91970802919708
104;base, f3, f4, f5, ;5411;5485,5;74,5;1,3581259684623
105;base, f3, f4, f5, f9, ;5460;5548;88;1,58615717375631
106;base, f3, f4, f5, f7, ;9508;9768;260;2,66175266175266
107;base, f3, f4, f5, f7, f9, ;9557;9822;265;2,698024842191
108;base, f3, f4, f5, f8, ;5630;5719,5;89,5;1,5648220998339
109;base, f3, f4, f5, f7, f8, ;9727;9986;259;2,59363108351693
110;base, f3, f4, f5, f8, f9, ;5679;5774;95;1,64530654658816
111;base, f3, f4, f5, f7, f8, f9, ;9776;10056;280;2,78440731901352
112;base, f3, f5, f6, ;6958;7061;103;1,45871689562385
113;base, f3, f5, f6, f9, ;7056;7194;138;1,91826522101752
114;base, f3, f5, f6, f8, ;7376;7498;122;1,62710056014937
115;base, f3, f5, f6, f8, f9, ;7474;7630,5;156,5;2,0509796212568
116;base, f3, f4, f5, f6, ;7356;7459;103;1,38088215578496
117;base, f3, f4, f5, f6, f8, ;7774;7903,5;129,5;1,63851458214715
118;base, f3, f4, f5, f6, f9, ;7454;7591,5;137,5;1,81123625107027
119;base, f3, f4, f5, f6, f8, f9, ;7872;8020;148;1,84538653366583
120;base, f3, f5, f6, f7, ;16752;17248;496;2,87569573283859
121;base, f3, f5, f6, f7, f9, ;16850;17365;515;2,96573567520875
122;base, f3, f4, f5, f6, f7, ;18749;19252;503;2,61271556201953
123;base, f3, f4, f5, f6, f7, f9, ;18847;19385,5;538,5;2,77784942353821
124;base, f3, f5, f6, f7, f8, ;17170;17677;507;2,86813373309951
125;base, f3, f4, f5, f6, f7, f8, ;19167;19705;538;2,73027150469424
126;base, f3, f5, f6, f7, f8, f9, ;17268;17802;534;2,99966295921807
127;base, f3, f4, f5, f6, f7, f8, f9, ;19265;19837,5;572,5;2,88594833018273
128;base, f2, ;8613;8636,5;23,5;0,272100966826841
