0;base, ;2508;2508;0;0
2;base, f2, ;8619;8619;0;0
4;base, f4, ;2707,5;2707,5;0;0
6;base, f6, ;2907,5;2907,5;0;0
8;base, f8, ;2728;2728;0;0
10;base, f10, ;2587,5;2587,5;0;0
12;base, f7, f8, derivative_f7_f8, ;4973;4973;0;0
14;base, f7, f8, f9, derivative_f7_f8, derivative_f7_f9, derivative_f8_f9, ;5217,5;5051;-166,5;-3,29637695505841
16;base, f6, f7, derivative_f6_f7, ;6767;6767;0;0
18;base, f6, f8, derivative_f6_f8, ;3163;3163;0;0
20;base, f6, f8, f9, derivative_f6_f8, derivative_f6_f9, derivative_f8_f9, ;3306;3226;-80;-2,47985120892747
22;base, f5, f9, derivative_f5_f9, ;3210;3210;0;0
24;base, f5, f8, f9, derivative_f5_f8, derivative_f5_f9, derivative_f8_f9, ;3543,5;3452;-91,5;-2,65063731170336
26;base, f5, f6, f8, derivative_f5_f6, derivative_f5_f8, derivative_f6_f8, ;3879;3795;-84;-2,21343873517786
28;base, f5, f6, f8, f9, derivative_f5_f6, derivative_f5_f8, derivative_f5_f9, derivative_f6_f8, derivative_f6_f9, derivative_f8_f9, ;4076;3850;-226;-5,87012987012987
30;base, f5, f7, f9, derivative_f5_f7, derivative_f5_f9, derivative_f7_f9, ;6858,5;6689;-169,5;-2,53401106293916
32;base, f5, f6, f7, f9, derivative_f5_f6, derivative_f5_f7, derivative_f5_f9, derivative_f6_f7, derivative_f6_f9, derivative_f7_f9, ;9115,5;8709;-406,5;-4,66758525663107
34;base, f5, f6, f7, f8, derivative_f5_f6, derivative_f5_f7, derivative_f5_f8, derivative_f6_f7, derivative_f6_f8, derivative_f7_f8, ;9288,5;8880,5;-408;-4,59433590450988
36;base, f5, f6, f7, f8, f9, derivative_f5_f6, derivative_f5_f7, derivative_f5_f8, derivative_f5_f9, derivative_f6_f7, derivative_f6_f8, derivative_f6_f9, derivative_f7_f8, derivative_f7_f9, derivative_f8_f9, ;9630;8950,5;-679,5;-7,59175465057818
38;base, f4, f8, derivative_f4_f8, ;2968;2968;0;0
40;base, f4, f7, derivative_f4_f7, ;5753;5753;0;0
42;base, f4, f7, f9, derivative_f4_f7, derivative_f4_f9, derivative_f7_f9, ;5994;5823;-171;-2,93663060278207
44;base, f4, f5, derivative_f4_f5, ;3358;3358;0;0
46;base, f4, f5, f7, derivative_f4_f5, derivative_f4_f7, derivative_f5_f7, ;7808;7625;-183;-2,40000000000001
48;base, f4, f5, f8, derivative_f4_f5, derivative_f4_f8, derivative_f5_f8, ;3681;3584;-97;-2,70647321428571
50;base, f4, f5, f8, f9, derivative_f4_f5, derivative_f4_f8, derivative_f4_f9, derivative_f5_f8, derivative_f5_f9, derivative_f8_f9, ;3882,5;3647;-235,5;-6,45736221551961
52;base, f4, f6, derivative_f4_f6, ;3140;3140;0;0
54;base, f4, f6, f8, derivative_f4_f6, derivative_f4_f8, derivative_f6_f8, ;3436;3374;-62;-1,83758150563129
56;base, f4, f5, f6, derivative_f4_f5, derivative_f4_f6, derivative_f5_f6, ;3845;3764;-81;-2,1519659936238
58;base, f4, f5, f6, f9, derivative_f4_f5, derivative_f4_f6, derivative_f4_f9, derivative_f5_f6, derivative_f5_f9, derivative_f6_f9, ;4038,5;3818;-220,5;-5,77527501309586
60;base, f4, f6, f7, derivative_f4_f6, derivative_f4_f7, derivative_f6_f7, ;7945,5;7788,5;-157;-2,01579251460487
62;base, f4, f5, f6, f7, derivative_f4_f5, derivative_f4_f6, derivative_f4_f7, derivative_f5_f6, derivative_f5_f7, derivative_f6_f7, ;10055;9653;-402;-4,1645084429711
